Date,"Close Price"
"2015-02-05 00:00:00",226.73
"2015-02-05 00:01:00",227.01
"2015-02-05 00:02:00",227.29
"2015-02-05 00:03:00",227.37
"2015-02-05 00:04:00",226.88
"2015-02-05 00:05:00",226.78
"2015-02-05 00:06:00",226.92
"2015-02-05 00:07:00",226.86
"2015-02-05 00:08:00",226.93
"2015-02-05 00:09:00",226.95
"2015-02-05 00:10:00",226.94
"2015-02-05 00:11:00",226.83
"2015-02-05 00:12:00",226.8
"2015-02-05 00:13:00",226.87
"2015-02-05 00:14:00",226.9
"2015-02-05 00:15:00",226.89
"2015-02-05 00:16:00",226.92
"2015-02-05 00:17:00",227.03
"2015-02-05 00:18:00",227.12
"2015-02-05 00:19:00",227.16
"2015-02-05 00:20:00",227.42
"2015-02-05 00:21:00",227.5
"2015-02-05 00:22:00",227.56
"2015-02-05 00:23:00",227.48
"2015-02-05 00:24:00",227.03
"2015-02-05 00:25:00",227.04
"2015-02-05 00:26:00",227.16
"2015-02-05 00:27:00",227.24
"2015-02-05 00:28:00",227.29
"2015-02-05 00:29:00",227.28
"2015-02-05 00:30:00",227.32
"2015-02-05 00:31:00",227.38
"2015-02-05 00:32:00",227.4
"2015-02-05 00:33:00",227.26
"2015-02-05 00:34:00",227.34
"2015-02-05 00:35:00",227.24
"2015-02-05 00:36:00",226.91
"2015-02-05 00:37:00",226.54
"2015-02-05 00:38:00",226.37
"2015-02-05 00:39:00",226.36
"2015-02-05 00:40:00",226.52
"2015-02-05 00:41:00",226.6
"2015-02-05 00:42:00",226.55
"2015-02-05 00:43:00",226.61
"2015-02-05 00:44:00",226.66
"2015-02-05 00:45:00",227.03
"2015-02-05 00:46:00",226.87
"2015-02-05 00:47:00",226.8
"2015-02-05 00:48:00",226.68
"2015-02-05 00:49:00",226.51
"2015-02-05 00:50:00",226.5
"2015-02-05 00:51:00",226.51
"2015-02-05 00:52:00",226.38
"2015-02-05 00:53:00",226.39
"2015-02-05 00:54:00",226.03
"2015-02-05 00:55:00",225.82
"2015-02-05 00:56:00",225.78
"2015-02-05 00:57:00",225.86
"2015-02-05 00:58:00",225.81
"2015-02-05 00:59:00",225.87
"2015-02-05 01:00:00",225.83
"2015-02-05 01:01:00",226
"2015-02-05 01:02:00",226.02
"2015-02-05 01:03:00",225.95
"2015-02-05 01:04:00",225.91
"2015-02-05 01:05:00",226.32
"2015-02-05 01:06:00",226.39
"2015-02-05 01:07:00",226.79
"2015-02-05 01:08:00",226.77
"2015-02-05 01:09:00",226.79
"2015-02-05 01:10:00",226.68
"2015-02-05 01:11:00",226.57
"2015-02-05 01:12:00",226.51
"2015-02-05 01:13:00",226.38
"2015-02-05 01:14:00",226.39
"2015-02-05 01:15:00",226.57
"2015-02-05 01:16:00",226.48
"2015-02-05 01:17:00",226.39
"2015-02-05 01:18:00",226.54
"2015-02-05 01:19:00",226.61
"2015-02-05 01:20:00",226.61
"2015-02-05 01:21:00",226.81
"2015-02-05 01:22:00",227.08
"2015-02-05 01:23:00",226.96
"2015-02-05 01:24:00",226.85
"2015-02-05 01:25:00",226.8
"2015-02-05 01:26:00",226.7
"2015-02-05 01:27:00",226.65
"2015-02-05 01:28:00",226.41
"2015-02-05 01:29:00",226.44
"2015-02-05 01:30:00",226.53
"2015-02-05 01:31:00",226.51
"2015-02-05 01:32:00",226.55
"2015-02-05 01:33:00",226.55
"2015-02-05 01:34:00",226.67
"2015-02-05 01:35:00",226.65
"2015-02-05 01:36:00",226.73
"2015-02-05 01:37:00",226.85
"2015-02-05 01:38:00",227.06
"2015-02-05 01:39:00",226.98
"2015-02-05 01:40:00",227.11
"2015-02-05 01:41:00",227.18
"2015-02-05 01:42:00",227.22
"2015-02-05 01:43:00",227.21
"2015-02-05 01:44:00",227.17
"2015-02-05 01:45:00",227.28
"2015-02-05 01:46:00",227.42
"2015-02-05 01:47:00",227.44
"2015-02-05 01:48:00",227.64
"2015-02-05 01:49:00",227.66
"2015-02-05 01:50:00",227.85
"2015-02-05 01:51:00",227.87
"2015-02-05 01:52:00",227.76
"2015-02-05 01:53:00",227.57
"2015-02-05 01:54:00",227.7
"2015-02-05 01:55:00",227.72
"2015-02-05 01:56:00",227.72
"2015-02-05 01:57:00",227.64
"2015-02-05 01:58:00",227.76
"2015-02-05 01:59:00",227.68
"2015-02-05 02:00:00",227.68
"2015-02-05 02:01:00",227.75
"2015-02-05 02:02:00",227.75
"2015-02-05 02:03:00",227.8
"2015-02-05 02:04:00",227.7
"2015-02-05 02:05:00",227.63
"2015-02-05 02:06:00",227.64
"2015-02-05 02:07:00",227.64
"2015-02-05 02:08:00",227.59
"2015-02-05 02:09:00",227.61
"2015-02-05 02:10:00",227.72
"2015-02-05 02:11:00",227.88
"2015-02-05 02:12:00",227.83
"2015-02-05 02:13:00",227.93
"2015-02-05 02:14:00",227.76
"2015-02-05 02:15:00",227.77
"2015-02-05 02:16:00",227.94
"2015-02-05 02:17:00",227.96
"2015-02-05 02:18:00",227.89
"2015-02-05 02:19:00",227.96
"2015-02-05 02:20:00",227.83
"2015-02-05 02:21:00",227.73
"2015-02-05 02:22:00",227.85
"2015-02-05 02:23:00",227.86
"2015-02-05 02:24:00",227.7
"2015-02-05 02:25:00",227.77
"2015-02-05 02:26:00",227.6
"2015-02-05 02:27:00",227.46
"2015-02-05 02:28:00",227.39
"2015-02-05 02:29:00",227.37
"2015-02-05 02:30:00",227.3
"2015-02-05 02:31:00",227.38
"2015-02-05 02:32:00",227.44
"2015-02-05 02:33:00",227.33
"2015-02-05 02:34:00",227.31
"2015-02-05 02:35:00",227.32
"2015-02-05 02:36:00",227.44
"2015-02-05 02:37:00",227.35
"2015-02-05 02:38:00",227.38
"2015-02-05 02:39:00",227.38
"2015-02-05 02:40:00",227.38
"2015-02-05 02:41:00",227.38
"2015-02-05 02:42:00",227.35
"2015-02-05 02:43:00",227.36
"2015-02-05 02:44:00",227.38
"2015-02-05 02:45:00",227.4
"2015-02-05 02:46:00",227.39
"2015-02-05 02:47:00",227.4
"2015-02-05 02:48:00",227.49
"2015-02-05 02:49:00",227.42
"2015-02-05 02:50:00",227.39
"2015-02-05 02:51:00",227.28
"2015-02-05 02:52:00",227.41
"2015-02-05 02:53:00",227.31
"2015-02-05 02:54:00",227.23
"2015-02-05 02:55:00",227.23
"2015-02-05 02:56:00",227.26
"2015-02-05 02:57:00",227.26
"2015-02-05 02:58:00",227.25
"2015-02-05 02:59:00",227.22
"2015-02-05 03:00:00",227.19
"2015-02-05 03:01:00",227.34
"2015-02-05 03:02:00",227.21
"2015-02-05 03:03:00",227.2
"2015-02-05 03:04:00",227.27
"2015-02-05 03:05:00",227.27
"2015-02-05 03:06:00",227.31
"2015-02-05 03:07:00",227.4
"2015-02-05 03:08:00",227.28
"2015-02-05 03:09:00",227.33
"2015-02-05 03:10:00",227.26
"2015-02-05 03:11:00",227.18
"2015-02-05 03:12:00",227.14
"2015-02-05 03:13:00",227.1
"2015-02-05 03:14:00",227.1
"2015-02-05 03:15:00",226.96
"2015-02-05 03:16:00",226.92
"2015-02-05 03:17:00",226.99
"2015-02-05 03:18:00",226.95
"2015-02-05 03:19:00",226.96
"2015-02-05 03:20:00",226.92
"2015-02-05 03:21:00",227.03
